timestamp,mode,anomaly_score,bearing_temp_DE,bearing_temp_NDE,casing_temp,current_A,current_B,current_C,delta_p,density,discharge_pressure,failure_probability,ferrous_particles,flow,frequency,gas_volume_fraction,health_index,leakage_rate,model_confidence,motor_current,noise_dBA,oil_TAN,oil_temp,oil_water_ppm,overall_vibration,particle_count,power_factor,predicted_mode,pressure,rpm,rul_minutes,seal_flush_pressure,seal_temp,shaft_displacement,suction_pressure,temp_ok,temperature,torque_est,ultrasonic_noise,vib_ok,vibration_x,vibration_y,vibration_z,viscosity
2025-09-30T02:38:21.972735,normal,0.007,73.905,71.111,60.127,7.899,7.992,7.955,4.198,1006.746,4.877,0.0,5,17.696,50.239,0.01,99.3,5,0.993,9.237,76.737,0.283,56.035,154,0.0174,16,0.902,normal,2.872,1814.0,595,1.442,50.941,59.647,0.679,1.0,88.059,34.528,44.849,1.0,0.0098,0.0101,0.0102,0.831
2025-09-30T02:39:39.725333,normal,0.001,74.534,68.653,58.507,8.087,7.78,7.928,4.372,1010.0,5.069,0.0,5,15.418,49.736,0.01,99.9,5,0.999,7.03,81.991,0.304,53.631,147,0.0175,16,0.854,normal,2.785,1757.7,599,1.495,51.651,62.733,0.697,1.0,80.063,34.254,34.997,1.0,0.0098,0.0103,0.0102,0.874
2025-09-30T02:39:39.812769,normal,0.0,74.2,69.679,60.007,8.191,8.126,7.911,4.43,1010.0,5.129,0.0,5,15.034,49.786,0.01,100.0,5,1.0,7.53,79.991,0.304,53.017,150,0.0176,16,0.866,normal,2.663,1782.7,599,1.447,51.828,59.614,0.699,1.0,82.063,35.827,37.497,1.0,0.0101,0.0099,0.0104,0.705
2025-09-30T02:39:40.206375,normal,0.0,75.32,71.553,60.72,8.032,7.911,8.177,4.251,1008.0,4.963,0.0,5,13.32,49.836,0.01,100.0,5,1.0,7.451,81.829,0.307,54.517,153,0.017,16,0.886,normal,2.913,1807.7,599,1.503,50.863,60.487,0.711,1.0,80.063,34.926,39.997,1.0,0.0095,0.01,0.01,0.905
2025-09-30T02:39:40.706191,normal,0.012,76.49,69.553,60.431,7.943,8.157,8.058,4.162,1006.0,4.865,0.0,5,15.82,49.886,0.01,98.8,5,0.988,7.951,79.829,0.295,53.157,150,0.0179,16,0.866,normal,2.704,1828.3,592,1.581,49.78,61.192,0.703,1.0,78.063,35.762,42.497,1.0,0.0103,0.0104,0.0103,0.705
2025-09-30T02:39:41.204143,normal,0.0,77.919,69.829,60.237,8.322,8.111,7.967,4.372,1004.0,5.082,0.0,5,16.314,49.936,0.01,100.0,5,1.0,8.451,77.829,0.293,54.657,148,0.0171,16,0.876,normal,2.454,1810.2,599,1.434,50.393,59.678,0.71,1.0,80.063,34.315,40.469,1.0,0.0098,0.0098,0.01,0.905
2025-09-30T02:39:41.709635,normal,0.0,76.879,69.374,60.347,8.025,7.759,7.907,4.278,1002.0,4.97,0.0,5,13.814,49.886,0.01,100.0,5,1.0,8.951,77.089,0.296,53.157,147,0.0175,16,0.887,normal,2.204,1788.5,599,1.546,51.757,59.108,0.692,1.0,82.063,34.868,42.969,1.0,0.01,0.0102,0.0102,0.705
2025-09-30T02:39:42.205861,normal,0.0,74.879,70.137,61.847,7.941,7.951,8.076,4.321,1000.0,5.012,0.0,5,13.595,49.836,0.01,100.0,5,1.0,8.451,78.828,0.294,53.986,154,0.017,16,0.867,normal,2.3,1777.3,599,1.507,50.257,60.296,0.691,1.0,80.063,35.417,44.518,1.0,0.0099,0.0097,0.0099,0.905
2025-09-30T02:39:42.703174,normal,0.0,75.591,70.415,60.805,7.952,8.023,8.085,4.231,998.0,4.958,0.0,5,16.095,49.886,0.01,100.0,5,1.0,8.951,77.234,0.295,54.109,154,0.0173,16,0.887,normal,2.55,1802.3,599,1.539,49.495,59.826,0.727,1.0,82.063,35.093,42.018,1.0,0.01,0.0101,0.0099,0.705
2025-09-30T02:39:43.202475,normal,0.001,73.88,69.418,60.352,8.091,7.811,7.942,4.315,1000.0,5.019,0.0,5,14.85,49.936,0.01,99.9,5,0.999,8.451,79.234,0.297,55.609,149,0.0171,16,0.874,normal,2.8,1824.4,599,1.518,49.452,59.115,0.704,1.0,84.063,35.669,44.518,1.0,0.0097,0.0098,0.0101,0.505
