timestamp,mode,anomaly_score,bearing_temp_DE,bearing_temp_NDE,casing_temp,current_A,current_B,current_C,delta_p,density,discharge_pressure,failure_probability,ferrous_particles,flow,frequency,gas_volume_fraction,health_index,leakage_rate,model_confidence,motor_current,noise_dBA,oil_TAN,oil_temp,oil_water_ppm,overall_vibration,particle_count,power_factor,predicted_mode,pressure,rpm,rul_minutes,seal_flush_pressure,seal_temp,shaft_displacement,suction_pressure,temp_ok,temperature,torque_est,ultrasonic_noise,vib_ok,vibration_x,vibration_y,vibration_z,viscosity
2025-09-30T11:10:19.656109,normal,0.001,76.58,69.854,58.418,7.93,8.143,8.117,4.36,990.0,5.059,0.001,5,12.945,50.368,0.01,99.9,5,0.999,10.95,81.121,0.307,54.501,151,0.0171,16,0.875,motor_overload_moderate,2.768,1803.5,599,1.5,50.161,60.692,0.699,1.0,84.323,35.3,41.088,1.0,0.0098,0.0101,0.0098,0.955
2025-09-30T11:10:19.756782,normal,0.001,74.58,70.507,59.918,8.341,8.155,7.879,4.353,992.0,5.064,0.001,5,14.114,50.318,0.01,99.9,5,0.999,10.45,79.121,0.291,55.271,151,0.017,16,0.885,motor_overload_moderate,3.018,1784.5,599,1.529,49.837,60.534,0.711,1.0,82.323,35.639,43.588,1.0,0.01,0.0098,0.0097,1.155
2025-09-30T11:10:20.159049,normal,0.02,76.58,69.139,61.315,8.225,8.081,8.132,4.33,994.0,5.034,0.02,5,11.614,50.368,0.01,98.0,5,0.98,9.95,78.861,0.305,53.771,144,0.017,16,0.901,motor_overload_moderate,3.268,1794.1,587,1.497,51.14,59.873,0.703,1.0,80.323,34.879,41.088,1.0,0.0099,0.0099,0.0098,1.355
2025-09-30T11:10:20.662513,normal,0.037,74.58,69.451,59.815,7.954,7.91,7.89,4.126,992.0,4.875,0.037,5,9.415,50.318,0.01,96.3,5,0.963,9.45,76.861,0.299,54.073,151,0.0171,16,0.881,motor_overload_moderate,3.018,1819.1,577,1.543,50.767,59.755,0.75,1.0,78.323,34.723,39.882,1.0,0.01,0.0097,0.0099,1.555
2025-09-30T11:10:21.180496,normal,0.038,76.58,69.533,60.314,7.941,8.036,7.898,4.363,994.0,5.057,0.0,5,11.915,50.368,0.01,96.2,5,0.962,8.95,78.366,0.306,54.948,150,0.0174,16,0.898,normal,2.768,1819.9,577,1.53,49.351,60.662,0.694,1.0,80.323,35.881,42.382,1.0,0.0101,0.01,0.0101,1.355
2025-09-30T11:10:21.664822,normal,0.089,75.147,67.533,59.831,8.205,7.96,7.702,4.177,996.0,4.915,0.089,5,14.415,50.318,0.01,91.1,5,0.911,8.554,79.118,0.291,55.023,152,0.0176,16,0.878,motor_overload_moderate,3.018,1820.7,546,1.458,49.18,60.22,0.738,1.0,82.323,35.515,42.998,1.0,0.0101,0.01,0.0103,1.155
2025-09-30T11:10:22.173964,normal,0.369,76.424,68.729,59.339,7.976,7.973,8.152,4.157,994.0,4.834,0.369,5,11.915,50.268,0.01,63.1,5,0.631,8.054,78.291,0.296,55.099,151,0.0173,16,0.859,motor_overload_moderate,3.268,1795.7,378,1.496,50.507,59.333,0.677,1.0,84.323,34.276,43.827,1.0,0.0097,0.0102,0.0101,0.955
2025-09-30T11:10:22.666647,normal,0.041,75.128,68.289,60.839,8.256,8.246,7.958,4.446,996.0,5.133,0.0,5,13.591,50.27,0.01,95.9,5,0.959,7.554,76.291,0.3,56.599,150,0.0175,16,0.858,normal,3.018,1820.7,575,1.527,51.009,61.353,0.687,1.0,82.323,34.331,46.327,1.0,0.0103,0.0101,0.01,1.155
2025-09-30T11:10:23.166471,normal,0.1,74.002,70.289,60.268,8.218,7.847,8.334,4.213,994.0,4.893,0.0,5,16.091,50.22,0.01,90.0,5,0.9,8.054,78.146,0.289,55.099,145,0.0172,16,0.867,normal,3.268,1795.7,539,1.494,50.491,62.381,0.681,1.0,80.323,34.302,48.827,1.0,0.0097,0.01,0.01,1.355
2025-09-30T11:10:23.719741,normal,0.207,72.002,71.094,60.747,7.753,7.818,8.083,4.332,996.0,5.038,0.207,5,16.83,50.27,0.01,79.3,5,0.793,7.554,80.013,0.297,54.684,152,0.0168,16,0.873,motor_overload_moderate,3.454,1770.7,475,1.475,48.991,60.056,0.706,1.0,82.323,35.501,46.327,1.0,0.0098,0.0097,0.0097,1.555
